ID,SMILES
CHEMBL4465843,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1ccc(N(C)C)cc1
CHEMBL4465620,O=C1CNC(=O)[C@H](CCCCNC(=S)CNC(=O)c2ccccc2Nc2cccc(OCCc3ccccc3)c2)N1
CHEMBL4464941,C[C@H](NC(=O)[C@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccc(OCCc3ccccc3)cc2)cc1)NC(=O)OCc1ccccc1)C(N)=O
CHEMBL446446,NC(=O)C1CCCCc2c1[nH]c1ccc(Cl)cc21
CHEMBL4464347,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1cc(N(C)C)ccn1
CHEMBL4463565,CCCCCCCCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL4461910,COc1cc(OC)cc(Sc2ccc(C(C)N(C)c3ncc4c(N)nc(N)nc4n3)cc2)c1
CHEMBL4461872,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccc(N(CC)CC)cc2)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
CHEMBL4459777,CCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4459211,CCC(c1ccc(Oc2ccc(OC)cc2)cc1)N(C)c1ncc2c(N)nc(N)nc2n1
CHEMBL4458848,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)C(F)(F)F)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
CHEMBL4457681,C[C@H](NC(=O)[C@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccc(O)cc2)cc1)NC(=O)OCc1ccccc1)C(N)=O
CHEMBL4457496,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccc(N(C)C)cc2)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
CHEMBL4456401,O=C(c1ccccc1Nc1cccc(OCCc2ccccc2)c1)N1CCOCC1
CHEMBL4456341,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1ccc(Br)nc1
CHEMBL4456262,CCCCCCCCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(O)c1
CHEMBL4455717,O=C(NCc1ccccc1)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4455525,CC(C)(C)OC(=O)NCCCCCNC(=O)CNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4455153,O=C(NCc1cccnc1)c1ccc2c(c1)C1C3CCC(C3)C1C(c1ccccc1)N2
CHEMBL4455074,C#CCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL445405,C[C@H](NC(=O)/C=C/c1ccc(O)cc1)C(=O)NCCc1c[nH]c2ccccc12
CHEMBL4452438,COc1cc2ccccc2cc1Cn1cnc2sc3c(c2c1=O)CCC(NCc1cccnc1)C3
CHEMBL4452279,Cc1cccc(Sc2ccc(NC(=O)CSc3nc(C)cc(C)n3)cc2)c1
CHEMBL4451179,O=C(NCCO)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4449841,COC(=O)[C@H](Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1)NCc1cccc(Br)n1
CHEMBL4449389,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)CCc1ccc(/N=N/c2ccc(N(C)C)cc2)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
CHEMBL4449271,C[C@H](NC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1)C(N)=O
CHEMBL4448993,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)c1ccc(/N=N/c2ccc(N(C)C)cc2)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
CHEMBL4448900,CC(C)CCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4448654,CC(C)(C)OC(=O)NCCCCNC(=O)CNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4447813,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccccc2)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
CHEMBL4446458,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)C(=O)N[C@@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccc(O)cc2)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
CHEMBL4446030,CCOC(=O)c1ccc2[nH]c(-c3ccc4c(c3)OCO4)nc2c1
CHEMBL4445565,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(=O)Cc1ccc(/N=N/c2ccccc2)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(C)=O)[C@@H](C)O)C(N)=O
CHEMBL4444104,COc1cc(OC)cc(Sc2ccc(C(c3ccccc3)N(C)c3ncc4c(N)nc(N)nc4n3)cc2)c1
CHEMBL4440955,CCCCCCCCCCCCNC(=S)NCCCC[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CCC(=O)NCC(=O)NCCCC[C@@H](C(N)=O)NC1=O
CHEMBL4439512,CCCCCNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4439043,NC(=O)Cc1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4438364,CCCCCCCCCCCCNC(=O)CCCCC[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CCC(=O)NCC(=O)NCCCC[C@@H](C(N)=O)NC1=O
CHEMBL4438193,CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)[C@@H](C)CC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O
CHEMBL4437455,CCCCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL4437062,COC(=O)CNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL4437014,CCCCCCCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL4436874,CCCCCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(O)c1
CHEMBL443681,CC(C)=CCC/C(C)=C/C[C@@H]1C[C@]2(CC=C(C)C)C(=O)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C2O)[C@@]1(C)CCC=C(C)C
CHEMBL4436322,NC(=O)c1ccccc1Nc1cccc(OCCc2ccc3ccccc3c2)c1
CHEMBL4435754,COC(=O)[C@@H](N)Cc1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)cn1
CHEMBL4434774,O=C(O)CNC(=O)c1ccccc1Nc1cccc(OCCc2ccccc2)c1
CHEMBL440410,O=C(/C=C/c1ccc(O)c(Br)c1)/C=C/c1cc(Br)c(O)c(Br)c1
CHEMBL438203,Cc1ccc(C2CC(=O)Oc3ccc4cc(Br)ccc4c32)cc1
CHEMBL430574,O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1
CHEMBL4295059,CCOC(=O)CCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NC1CCSc2ccccc21
CHEMBL429433,Cc1ccc2c3c(ccc2c1)OC(=O)CC3c1cccc(Br)c1
CHEMBL4288567,CCCCCCCNC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL4287164,CCOC(=O)CCNC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1cccc(O)c1
